11.8944	22.5889	50.578	54.0459	42.8353	15.3409	6.30394	15.8809	
103.277	94.9214	56.7231	83.9647	27.6836	34.7958	20.804	81.0157	
83.235	72.899	65.1772	50.216	55.6358	66.4835	80.5113	8.40902	
22.5302	25.8043	14.4156	9.51872	20.9634	20.1895	12.2228	3.49259	
27.0259	27.4843	44.901	39.7952	54.1792	29.5303	13.9247	19.7846	
29.1064	33.6627	25.2297	16.1861	16.3512	28.6794	24.1943	13.0925	
27.7339	51.7913	79.767	67.0491	22.0486	26.9496	35.3741	14.3284	
27.7836	57.2413	22.5915	28.0475	31.2625	6.08026	13.5299	12.4305	
41.9953	54.8466	66.4254	8.61036	30.0433	25.7785	12.0915	50.9323	
47.9141	44.4875	42.8784	29.5952	24.0977	24.9777	12.3816	13.4577	
40.8817	37.1851	16.1524	61.5379	28.9767	32.0675	12.5195	27.8022	
88.7335	86.4885	43.5227	56.3726	65.9297	30.8864	14.9512	65.5312	
43.534	28.2461	64.8134	30.0925	64.277	54.3267	76.445	5.06866	
33.3515	60.1814	55.1437	25.2579	42.4324	44.7844	22.1773	46.3483	
66.3855	47.8476	122.565	74.6673	35.0934	62.0988	81.0086	76.1731	
50.7976	43.5656	26.3101	38.7189	42.436	12.1469	31.6743	3.42948	
85.7374	45.4581	50.4965	30.0281	29.179	19.9634	42.5313	29.7357	
55.8073	110.303	60.3339	61.1184	37.976	35.6829	10.4642	66.8948	
70.5293	82.2068	43.0989	57.2952	53.9208	34.2586	5.57293	82.6622	
87.9505	81.0155	65.3746	84.3403	50.3828	70.7719	29.3747	14.854	
65.1668	147.646	193.082	59.3162	96.1703	106.779	8.21875	193.551	
71.8726	85.2671	148.853	67.1109	119.186	131.554	41.2272	73.3516	
75.4326	64.4281	81.9362	54.5195	37.828	68.6203	29.6903	0	
58.1552	45.0186	72.1708	80.9303	60.2715	78.2805	38.2061	8.85952	
145.058	103.85	56.7303	38.5446	66.837	133.624	123.475	35.4035	
71.0195	61.8314	71.4428	67.0045	51.156	68.5989	63.1309	34.3731	
289.061	170.156	104.842	216.167	242.467	107.498	181.258	0	
61.2039	58.1075	56.994	92.106	24.2077	50.6535	3.80726	68.2517	
165.008	83.9798	86.3713	352.861	103.859	51.2989	111.746	9.92478	
116.445	163.183	137.475	104.484	132.86	97.3954	69.0159	134.598	
84.8196	48.6551	234.16	72.6604	30.0345	58.6378	24.0281	66.8549	
30.1006	127.932	39.1977	62.3655	73.6385	75.9971	171.226	22.9622	
