935	639	940	605	940	605	930	640	940	605	940	605	
907	680	912	889	909	649	918	912	906	680	932	926	
907	758	878	890	899	670	906	914	871	931	871	931	
898	863	871	931	893	905	871	931	830	963	863	999	
878	890	827	1167	890	909	830	951	830	985	830	999	
871	931	817	1237	871	931	829	982	825	991	829	1222	
830	963	792	1305	830	963	826	1033	821	1243	820	1257	
830	963			822	1194	818	1196	790	1306	817	1307	
830	985			817	1237	787	1308					
809	1267			783	1467							
