1592	2377	1593	2332	1535	2379	1554	2300	1532	2287	1533	2288	
1556	2389	1540	2333	1528	2413	1530	2408	1484	2526	1531	2590	
1542	2394	1539	2426	1497	2668	1466	2410	1484	2526	1439	2684	
1540	2475	1533	2522	1472	2717	1355	2638	1474	2642	1433	2775	
1491	2558	1507	2548	1470	2772			1472	3041	1422	3328	
1480	2684	1507	2751	1459	3118			1471	3083	1406	3556	
1392	2704	1477	2832	1414	3185			1425	3221			
		1457	3088	1413	3458			1423	3277			
		1440	3218					1423	3403			
		1436	3227					1413	3847			
		1399	3307					1413	4283			
